Run Index, Segregation Time steps (f048_s043_t00)
1, 23860000
2, 7160000
3, 7760000
4, 9140000
5, 8480000
6, 3280000
7, 14620000
8, 5100000
9, 8070000
10, 12170000
11, 17460000
12, 7240000
13, 4610000
14, 4470000
15, 10510000
16, 8930000
17, 8550000
18, 16370000
19, 7400000
20, 9560000
21, 6540000
22, 9530000
23, 13420000
24, 8840000
25, 15440000
26, 11400000
27, 44440000
28, 6850000
29, 6240000
30, 26190000
31, 5070000
32, 5850000
33, 7020000
34, 5580000
35, 8840000
36, 7730000
37, 104940000
38, 9000000
39, 6140000
40, 5910000
41, 22610000
42, 4070000
43, 3330000
44, 18490000
45, 5670000
46, 11340000
47, 12730000
48, 5480000
49, 8860000
50, 9500000
