Run Index, Segregation Time steps (f045_s040_t00)
1, 119000
2, 594000
3, 643000
4, 419000
5, 484000
6, 958000
7, 666000
8, 771000
9, 223000
10, 307000
11, 681000
12, 745000
13, 1035000
14, 947000
15, 437000
16, 215000
17, 4362000
18, 159000
19, 217000
20, 363000
21, 1901000
22, 388000
23, 281000
24, 235000
25, 327000
26, 406000
27, 498000
28, 616000
29, 808000
30, 222000
31, 290000
32, 360000
33, 679000
34, 353000
35, 679000
36, 3786000
37, 1414000
38, 1467000
39, 449000
40, 482000
41, 698000
42, 541000
43, 404000
44, 374000
45, 255000
46, 275000
47, 1132000
48, 909000
49, 486000
50, 287000
