Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.002401
-15.000000, 0.004835
-14.800000, 0.004536
-14.600000, 0.004047
-14.400000, 0.003823
-14.200000, 0.003863
-14.000000, 0.003506
-13.800000, 0.003400
-13.600000, 0.003303
-13.400000, 0.003480
-13.200000, 0.003547
-13.000000, 0.003626
-12.800000, 0.003633
-12.600000, 0.003688
-12.400000, 0.003583
-12.200000, 0.003518
-12.000000, 0.003597
-11.800000, 0.003457
-11.600000, 0.003596
-11.400000, 0.003555
-11.200000, 0.003536
-11.000000, 0.003513
-10.800000, 0.003595
-10.600000, 0.003582
-10.400000, 0.003591
-10.200000, 0.003541
-10.000000, 0.003590
-9.800000, 0.003563
-9.600000, 0.003671
-9.400000, 0.003541
-9.200000, 0.003516
-9.000000, 0.003713
-8.800000, 0.003608
-8.600000, 0.003543
-8.400000, 0.003593
-8.200000, 0.003687
-8.000000, 0.003508
-7.800000, 0.003625
-7.600000, 0.003563
-7.400000, 0.003596
-7.200000, 0.003591
-7.000000, 0.003627
-6.800000, 0.003611
-6.600000, 0.003527
-6.400000, 0.003712
-6.200000, 0.003671
-6.000000, 0.003617
-5.800000, 0.003747
-5.600000, 0.003637
-5.400000, 0.003672
-5.200000, 0.003805
-5.000000, 0.003678
-4.800000, 0.003691
-4.600000, 0.003632
-4.400000, 0.003840
-4.200000, 0.003906
-4.000000, 0.003715
-3.800000, 0.003702
-3.600000, 0.003952
-3.400000, 0.003782
-3.200000, 0.003766
-3.000000, 0.003912
-2.800000, 0.003750
-2.600000, 0.003777
-2.400000, 0.003685
-2.200000, 0.003616
-2.000000, 0.003591
-1.800000, 0.003616
-1.600000, 0.003668
-1.400000, 0.003677
-1.200000, 0.003540
-1.000000, 0.003717
-0.800000, 0.003543
-0.600000, 0.003668
-0.400000, 0.003631
-0.200000, 0.003565
0.000000, 0.003695
0.200000, 0.003493
0.400000, 0.003580
0.600000, 0.003645
0.800000, 0.003627
1.000000, 0.003605
1.200000, 0.003517
1.400000, 0.003775
1.600000, 0.003551
1.800000, 0.003726
2.000000, 0.003683
2.200000, 0.003737
2.400000, 0.003678
2.600000, 0.003767
2.800000, 0.003808
3.000000, 0.003785
3.200000, 0.003803
3.400000, 0.003813
3.600000, 0.003875
3.800000, 0.003903
4.000000, 0.003927
4.200000, 0.003752
4.400000, 0.003711
4.600000, 0.003758
4.800000, 0.003738
5.000000, 0.003732
5.200000, 0.003678
5.400000, 0.003680
5.600000, 0.003713
5.800000, 0.003740
6.000000, 0.003698
6.200000, 0.003717
6.400000, 0.003650
6.600000, 0.003591
6.800000, 0.003655
7.000000, 0.003683
7.200000, 0.003670
7.400000, 0.003486
7.600000, 0.003508
7.800000, 0.003663
8.000000, 0.003587
8.200000, 0.003528
8.400000, 0.003513
8.600000, 0.003508
8.800000, 0.003561
9.000000, 0.003667
9.200000, 0.003486
9.400000, 0.003622
9.600000, 0.003553
9.800000, 0.003621
10.000000, 0.003556
10.200000, 0.003477
10.400000, 0.003646
10.600000, 0.003671
10.800000, 0.003625
11.000000, 0.003515
11.200000, 0.003590
11.400000, 0.003522
11.600000, 0.003541
11.800000, 0.003532
12.000000, 0.003573
12.200000, 0.003496
12.400000, 0.003627
12.600000, 0.003466
12.800000, 0.003653
13.000000, 0.003566
13.200000, 0.003512
13.400000, 0.003373
13.600000, 0.003285
13.800000, 0.003553
14.000000, 0.003795
14.200000, 0.003803
14.400000, 0.004096
14.600000, 0.004493
14.800000, 0.004848
15.000000, 0.002394
15.200000, 0.000000
15.400000, 0.000000
