Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.002978
-15.000000, 0.007108
-14.800000, 0.007002
-14.600000, 0.006987
-14.400000, 0.007297
-14.200000, 0.007932
-14.000000, 0.007993
-13.800000, 0.008039
-13.600000, 0.008852
-13.400000, 0.009730
-13.200000, 0.010670
-13.000000, 0.011399
-12.800000, 0.012249
-12.600000, 0.013229
-12.400000, 0.013826
-12.200000, 0.014286
-12.000000, 0.014902
-11.800000, 0.015613
-11.600000, 0.016262
-11.400000, 0.016785
-11.200000, 0.016955
-11.000000, 0.017481
-10.800000, 0.018046
-10.600000, 0.018042
-10.400000, 0.018616
-10.200000, 0.018653
-10.000000, 0.019228
-9.800000, 0.019238
-9.600000, 0.019977
-9.400000, 0.020000
-9.200000, 0.020503
-9.000000, 0.020693
-8.800000, 0.020935
-8.600000, 0.021079
-8.400000, 0.021450
-8.200000, 0.022017
-8.000000, 0.021739
-7.800000, 0.022057
-7.600000, 0.022193
-7.400000, 0.022761
-7.200000, 0.022579
-7.000000, 0.022678
-6.800000, 0.023271
-6.600000, 0.023280
-6.400000, 0.023256
-6.200000, 0.023813
-6.000000, 0.023700
-5.800000, 0.023813
-5.600000, 0.024189
-5.400000, 0.023871
-5.200000, 0.024259
-5.000000, 0.024336
-4.800000, 0.024281
-4.600000, 0.024428
-4.400000, 0.024400
-4.200000, 0.024818
-4.000000, 0.024400
-3.800000, 0.024099
-3.600000, 0.024299
-3.400000, 0.024265
-3.200000, 0.023671
-3.000000, 0.023874
-2.800000, 0.023220
-2.600000, 0.023211
-2.400000, 0.022534
-2.200000, 0.021900
-2.000000, 0.021770
-1.800000, 0.020988
-1.600000, 0.020119
-1.400000, 0.019844
-1.200000, 0.019417
-1.000000, 0.018902
-0.800000, 0.018179
-0.600000, 0.017693
-0.400000, 0.016957
-0.200000, 0.016582
0.000000, 0.015975
0.200000, 0.015242
0.400000, 0.014750
0.600000, 0.014206
0.800000, 0.014092
1.000000, 0.013271
1.200000, 0.012782
1.400000, 0.012506
1.600000, 0.012066
1.800000, 0.011718
2.000000, 0.011299
2.200000, 0.011151
2.400000, 0.010695
2.600000, 0.010699
2.800000, 0.010433
3.000000, 0.010181
3.200000, 0.010124
3.400000, 0.009900
3.600000, 0.010040
3.800000, 0.009903
4.000000, 0.009697
4.200000, 0.009909
4.400000, 0.009798
4.600000, 0.009812
4.800000, 0.009803
5.000000, 0.009649
5.200000, 0.009898
5.400000, 0.009899
5.600000, 0.009832
5.800000, 0.010001
6.000000, 0.010080
6.200000, 0.009988
6.400000, 0.010111
6.600000, 0.010283
6.800000, 0.010213
7.000000, 0.010304
7.200000, 0.010543
7.400000, 0.010464
7.600000, 0.010684
7.800000, 0.010754
8.000000, 0.011001
8.200000, 0.011016
8.400000, 0.011423
8.600000, 0.011639
8.800000, 0.011578
9.000000, 0.011914
9.200000, 0.012021
9.400000, 0.012443
9.600000, 0.012694
9.800000, 0.012937
10.000000, 0.013272
10.200000, 0.013271
10.400000, 0.013556
10.600000, 0.014202
10.800000, 0.014232
11.000000, 0.014749
11.200000, 0.015140
11.400000, 0.015651
11.600000, 0.016203
11.800000, 0.016845
12.000000, 0.017326
12.200000, 0.018181
12.400000, 0.019072
12.600000, 0.019856
12.800000, 0.020569
13.000000, 0.021549
13.200000, 0.022238
13.400000, 0.023004
13.600000, 0.024211
13.800000, 0.025800
14.000000, 0.028833
14.200000, 0.028093
14.400000, 0.028011
14.600000, 0.029221
14.800000, 0.029841
15.000000, 0.013955
15.200000, 0.000000
15.400000, 0.000000
