Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.002337
-15.000000, 0.005081
-14.800000, 0.004448
-14.600000, 0.004045
-14.400000, 0.003727
-14.200000, 0.003718
-14.000000, 0.003522
-13.800000, 0.003306
-13.600000, 0.003465
-13.400000, 0.003530
-13.200000, 0.003558
-13.000000, 0.003548
-12.800000, 0.003551
-12.600000, 0.003692
-12.400000, 0.003622
-12.200000, 0.003602
-12.000000, 0.003471
-11.800000, 0.003602
-11.600000, 0.003595
-11.400000, 0.003513
-11.200000, 0.003611
-11.000000, 0.003506
-10.800000, 0.003520
-10.600000, 0.003482
-10.400000, 0.003566
-10.200000, 0.003626
-10.000000, 0.003461
-9.800000, 0.003578
-9.600000, 0.003563
-9.400000, 0.003640
-9.200000, 0.003571
-9.000000, 0.003592
-8.800000, 0.003631
-8.600000, 0.003678
-8.400000, 0.003511
-8.200000, 0.003556
-8.000000, 0.003593
-7.800000, 0.003627
-7.600000, 0.003643
-7.400000, 0.003677
-7.200000, 0.003568
-7.000000, 0.003670
-6.800000, 0.003588
-6.600000, 0.003648
-6.400000, 0.003597
-6.200000, 0.003626
-6.000000, 0.003707
-5.800000, 0.003552
-5.600000, 0.003752
-5.400000, 0.003673
-5.200000, 0.003608
-5.000000, 0.003751
-4.800000, 0.003698
-4.600000, 0.003817
-4.400000, 0.003715
-4.200000, 0.003881
-4.000000, 0.003803
-3.800000, 0.003895
-3.600000, 0.003830
-3.400000, 0.003716
-3.200000, 0.003768
-3.000000, 0.003741
-2.800000, 0.003663
-2.600000, 0.003608
-2.400000, 0.003798
-2.200000, 0.003606
-2.000000, 0.003648
-1.800000, 0.003581
-1.600000, 0.003505
-1.400000, 0.003596
-1.200000, 0.003527
-1.000000, 0.003561
-0.800000, 0.003541
-0.600000, 0.003656
-0.400000, 0.003570
-0.200000, 0.003570
0.000000, 0.003626
0.200000, 0.003653
0.400000, 0.003583
0.600000, 0.003600
0.800000, 0.003692
1.000000, 0.003557
1.200000, 0.003535
1.400000, 0.003652
1.600000, 0.003526
1.800000, 0.003680
2.000000, 0.003622
2.200000, 0.003696
2.400000, 0.003761
2.600000, 0.003757
2.800000, 0.003756
3.000000, 0.003812
3.200000, 0.003831
3.400000, 0.003807
3.600000, 0.003886
3.800000, 0.003877
4.000000, 0.003833
4.200000, 0.003835
4.400000, 0.003738
4.600000, 0.003835
4.800000, 0.003781
5.000000, 0.003665
5.200000, 0.003692
5.400000, 0.003808
5.600000, 0.003792
5.800000, 0.003658
6.000000, 0.003665
6.200000, 0.003660
6.400000, 0.003613
6.600000, 0.003642
6.800000, 0.003592
7.000000, 0.003658
7.200000, 0.003543
7.400000, 0.003577
7.600000, 0.003598
7.800000, 0.003580
8.000000, 0.003637
8.200000, 0.003620
8.400000, 0.003548
8.600000, 0.003587
8.800000, 0.003583
9.000000, 0.003531
9.200000, 0.003621
9.400000, 0.003580
9.600000, 0.003532
9.800000, 0.003636
10.000000, 0.003652
10.200000, 0.003627
10.400000, 0.003463
10.600000, 0.003615
10.800000, 0.003483
11.000000, 0.003521
11.200000, 0.003595
11.400000, 0.003660
11.600000, 0.003602
11.800000, 0.003583
12.000000, 0.003511
12.200000, 0.003640
12.400000, 0.003677
12.600000, 0.003548
12.800000, 0.003656
13.000000, 0.003580
13.200000, 0.003502
13.400000, 0.003397
13.600000, 0.003382
13.800000, 0.003466
14.000000, 0.003923
14.200000, 0.003788
14.400000, 0.004007
14.600000, 0.004437
14.800000, 0.004887
15.000000, 0.002437
15.200000, 0.000000
15.400000, 0.000000
