Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.002344
-15.000000, 0.005017
-14.800000, 0.004480
-14.600000, 0.003988
-14.400000, 0.003842
-14.200000, 0.003717
-14.000000, 0.003633
-13.800000, 0.003285
-13.600000, 0.003388
-13.400000, 0.003541
-13.200000, 0.003431
-13.000000, 0.003586
-12.800000, 0.003511
-12.600000, 0.003642
-12.400000, 0.003580
-12.200000, 0.003576
-12.000000, 0.003613
-11.800000, 0.003402
-11.600000, 0.003642
-11.400000, 0.003611
-11.200000, 0.003578
-11.000000, 0.003593
-10.800000, 0.003721
-10.600000, 0.003531
-10.400000, 0.003626
-10.200000, 0.003595
-10.000000, 0.003538
-9.800000, 0.003596
-9.600000, 0.003710
-9.400000, 0.003583
-9.200000, 0.003603
-9.000000, 0.003583
-8.800000, 0.003535
-8.600000, 0.003576
-8.400000, 0.003627
-8.200000, 0.003673
-8.000000, 0.003706
-7.800000, 0.003537
-7.600000, 0.003571
-7.400000, 0.003546
-7.200000, 0.003556
-7.000000, 0.003587
-6.800000, 0.003687
-6.600000, 0.003662
-6.400000, 0.003565
-6.200000, 0.003690
-6.000000, 0.003808
-5.800000, 0.003761
-5.600000, 0.003771
-5.400000, 0.003625
-5.200000, 0.003725
-5.000000, 0.003623
-4.800000, 0.003836
-4.600000, 0.003618
-4.400000, 0.003813
-4.200000, 0.003855
-4.000000, 0.003722
-3.800000, 0.003737
-3.600000, 0.003637
-3.400000, 0.003780
-3.200000, 0.003697
-3.000000, 0.003728
-2.800000, 0.003731
-2.600000, 0.003697
-2.400000, 0.003676
-2.200000, 0.003657
-2.000000, 0.003673
-1.800000, 0.003577
-1.600000, 0.003672
-1.400000, 0.003612
-1.200000, 0.003536
-1.000000, 0.003533
-0.800000, 0.003675
-0.600000, 0.003565
-0.400000, 0.003596
-0.200000, 0.003686
0.000000, 0.003520
0.200000, 0.003636
0.400000, 0.003691
0.600000, 0.003507
0.800000, 0.003698
1.000000, 0.003537
1.200000, 0.003680
1.400000, 0.003621
1.600000, 0.003705
1.800000, 0.003616
2.000000, 0.003602
2.200000, 0.003653
2.400000, 0.003718
2.600000, 0.003717
2.800000, 0.003865
3.000000, 0.003771
3.200000, 0.003745
3.400000, 0.003720
3.600000, 0.003850
3.800000, 0.003805
4.000000, 0.003928
4.200000, 0.003703
4.400000, 0.003665
4.600000, 0.003848
4.800000, 0.003653
5.000000, 0.003715
5.200000, 0.003702
5.400000, 0.003595
5.600000, 0.003647
5.800000, 0.003690
6.000000, 0.003583
6.200000, 0.003676
6.400000, 0.003668
6.600000, 0.003563
6.800000, 0.003661
7.000000, 0.003578
7.200000, 0.003646
7.400000, 0.003606
7.600000, 0.003656
7.800000, 0.003670
8.000000, 0.003598
8.200000, 0.003588
8.400000, 0.003630
8.600000, 0.003622
8.800000, 0.003507
9.000000, 0.003633
9.200000, 0.003611
9.400000, 0.003527
9.600000, 0.003585
9.800000, 0.003546
10.000000, 0.003675
10.200000, 0.003495
10.400000, 0.003485
10.600000, 0.003676
10.800000, 0.003511
11.000000, 0.003570
11.200000, 0.003606
11.400000, 0.003626
11.600000, 0.003513
11.800000, 0.003543
12.000000, 0.003541
12.200000, 0.003546
12.400000, 0.003612
12.600000, 0.003613
12.800000, 0.003528
13.000000, 0.003498
13.200000, 0.003453
13.400000, 0.003472
13.600000, 0.003430
13.800000, 0.003517
14.000000, 0.003731
14.200000, 0.003862
14.400000, 0.004066
14.600000, 0.004302
14.800000, 0.005009
15.000000, 0.002352
15.200000, 0.000000
15.400000, 0.000000
