Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.001721
-15.000000, 0.003923
-14.800000, 0.004283
-14.600000, 0.004273
-14.400000, 0.004758
-14.200000, 0.005038
-14.000000, 0.004603
-13.800000, 0.004355
-13.600000, 0.004292
-13.400000, 0.004368
-13.200000, 0.004331
-13.000000, 0.004312
-12.800000, 0.004212
-12.600000, 0.004432
-12.400000, 0.004337
-12.200000, 0.004296
-12.000000, 0.004368
-11.800000, 0.004413
-11.600000, 0.004556
-11.400000, 0.004551
-11.200000, 0.004328
-11.000000, 0.004423
-10.800000, 0.004587
-10.600000, 0.004603
-10.400000, 0.004573
-10.200000, 0.004476
-10.000000, 0.004568
-9.800000, 0.004538
-9.600000, 0.004595
-9.400000, 0.004645
-9.200000, 0.004681
-9.000000, 0.004610
-8.800000, 0.004626
-8.600000, 0.004571
-8.400000, 0.004611
-8.200000, 0.004801
-8.000000, 0.004708
-7.800000, 0.004551
-7.600000, 0.004781
-7.400000, 0.004805
-7.200000, 0.004780
-7.000000, 0.004768
-6.800000, 0.004708
-6.600000, 0.004698
-6.400000, 0.004770
-6.200000, 0.004752
-6.000000, 0.004710
-5.800000, 0.004860
-5.600000, 0.004832
-5.400000, 0.004822
-5.200000, 0.004865
-5.000000, 0.004856
-4.800000, 0.004787
-4.600000, 0.004883
-4.400000, 0.004811
-4.200000, 0.004872
-4.000000, 0.004848
-3.800000, 0.004670
-3.600000, 0.004683
-3.400000, 0.004926
-3.200000, 0.004850
-3.000000, 0.004802
-2.800000, 0.004567
-2.600000, 0.004795
-2.400000, 0.004842
-2.200000, 0.004707
-2.000000, 0.004673
-1.800000, 0.004760
-1.600000, 0.004650
-1.400000, 0.004582
-1.200000, 0.004743
-1.000000, 0.004671
-0.800000, 0.004682
-0.600000, 0.004653
-0.400000, 0.004541
-0.200000, 0.004641
0.000000, 0.004512
0.200000, 0.004575
0.400000, 0.004618
0.600000, 0.004630
0.800000, 0.004547
1.000000, 0.004610
1.200000, 0.004651
1.400000, 0.004786
1.600000, 0.004705
1.800000, 0.004678
2.000000, 0.004773
2.200000, 0.004775
2.400000, 0.004796
2.600000, 0.004775
2.800000, 0.004842
3.000000, 0.004795
3.200000, 0.004736
3.400000, 0.004855
3.600000, 0.004895
3.800000, 0.004895
4.000000, 0.004875
4.200000, 0.004897
4.400000, 0.004803
4.600000, 0.004726
4.800000, 0.004851
5.000000, 0.004805
5.200000, 0.004841
5.400000, 0.004825
5.600000, 0.004821
5.800000, 0.004643
6.000000, 0.004891
6.200000, 0.004785
6.400000, 0.004925
6.600000, 0.004887
6.800000, 0.004657
7.000000, 0.004831
7.200000, 0.004727
7.400000, 0.004710
7.600000, 0.004628
7.800000, 0.004623
8.000000, 0.004716
8.200000, 0.004617
8.400000, 0.004533
8.600000, 0.004732
8.800000, 0.004498
9.000000, 0.004628
9.200000, 0.004615
9.400000, 0.004587
9.600000, 0.004550
9.800000, 0.004485
10.000000, 0.004603
10.200000, 0.004442
10.400000, 0.004433
10.600000, 0.004473
10.800000, 0.004471
11.000000, 0.004413
11.200000, 0.004441
11.400000, 0.004463
11.600000, 0.004538
11.800000, 0.004365
12.000000, 0.004447
12.200000, 0.004373
12.400000, 0.004408
12.600000, 0.004327
12.800000, 0.004278
13.000000, 0.004173
13.200000, 0.004182
13.400000, 0.004406
13.600000, 0.004475
13.800000, 0.004551
14.000000, 0.004988
14.200000, 0.004645
14.400000, 0.004412
14.600000, 0.004271
14.800000, 0.003868
15.000000, 0.001751
15.200000, 0.000000
15.400000, 0.000000
