Left Bin Edge, Probability density
0.000000, 0.039944
0.100000, 0.039859
0.200000, 0.040043
0.300000, 0.041087
0.400000, 0.040542
0.500000, 0.040238
0.600000, 0.040009
0.700000, 0.039001
0.800000, 0.038215
0.900000, 0.037030
1.000000, 0.036081
1.100000, 0.035660
1.200000, 0.036335
1.300000, 0.037683
1.400000, 0.039893
1.500000, 0.042960
1.600000, 0.045572
1.700000, 0.045054
1.800000, 0.044878
1.900000, 0.045683
2.000000, 0.047470
2.100000, 0.050142
2.200000, 0.053331
2.300000, 0.056151
2.400000, 0.058474
2.500000, 0.057035
2.600000, 0.009193
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
