Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.001699
-15.000000, 0.003927
-14.800000, 0.004251
-14.600000, 0.004438
-14.400000, 0.004492
-14.200000, 0.004823
-14.000000, 0.004676
-13.800000, 0.004268
-13.600000, 0.004426
-13.400000, 0.004233
-13.200000, 0.004352
-13.000000, 0.004313
-12.800000, 0.004300
-12.600000, 0.004422
-12.400000, 0.004380
-12.200000, 0.004561
-12.000000, 0.004330
-11.800000, 0.004486
-11.600000, 0.004487
-11.400000, 0.004608
-11.200000, 0.004455
-11.000000, 0.004486
-10.800000, 0.004495
-10.600000, 0.004443
-10.400000, 0.004623
-10.200000, 0.004463
-10.000000, 0.004443
-9.800000, 0.004526
-9.600000, 0.004537
-9.400000, 0.004527
-9.200000, 0.004672
-9.000000, 0.004561
-8.800000, 0.004550
-8.600000, 0.004693
-8.400000, 0.004642
-8.200000, 0.004603
-8.000000, 0.004636
-7.800000, 0.004578
-7.600000, 0.004718
-7.400000, 0.004808
-7.200000, 0.004698
-7.000000, 0.004660
-6.800000, 0.004966
-6.600000, 0.004732
-6.400000, 0.004852
-6.200000, 0.004718
-6.000000, 0.004845
-5.800000, 0.004642
-5.600000, 0.004892
-5.400000, 0.004760
-5.200000, 0.004862
-5.000000, 0.004900
-4.800000, 0.004851
-4.600000, 0.005063
-4.400000, 0.004820
-4.200000, 0.004895
-4.000000, 0.004800
-3.800000, 0.004745
-3.600000, 0.004802
-3.400000, 0.004755
-3.200000, 0.004666
-3.000000, 0.004878
-2.800000, 0.004723
-2.600000, 0.004837
-2.400000, 0.004643
-2.200000, 0.004670
-2.000000, 0.004731
-1.800000, 0.004685
-1.600000, 0.004466
-1.400000, 0.004608
-1.200000, 0.004631
-1.000000, 0.004696
-0.800000, 0.004613
-0.600000, 0.004521
-0.400000, 0.004582
-0.200000, 0.004627
0.000000, 0.004543
0.200000, 0.004546
0.400000, 0.004633
0.600000, 0.004587
0.800000, 0.004610
1.000000, 0.004571
1.200000, 0.004663
1.400000, 0.004620
1.600000, 0.004581
1.800000, 0.004676
2.000000, 0.004708
2.200000, 0.004723
2.400000, 0.004682
2.600000, 0.004807
2.800000, 0.004831
3.000000, 0.004721
3.200000, 0.004792
3.400000, 0.004795
3.600000, 0.004907
3.800000, 0.004812
4.000000, 0.004713
4.200000, 0.004952
4.400000, 0.004675
4.600000, 0.004863
4.800000, 0.004840
5.000000, 0.004733
5.200000, 0.004816
5.400000, 0.004835
5.600000, 0.004730
5.800000, 0.004877
6.000000, 0.004750
6.200000, 0.004765
6.400000, 0.004666
6.600000, 0.004690
6.800000, 0.004752
7.000000, 0.004706
7.200000, 0.004637
7.400000, 0.004598
7.600000, 0.004715
7.800000, 0.004700
8.000000, 0.004640
8.200000, 0.004485
8.400000, 0.004786
8.600000, 0.004587
8.800000, 0.004560
9.000000, 0.004558
9.200000, 0.004580
9.400000, 0.004506
9.600000, 0.004533
9.800000, 0.004480
10.000000, 0.004597
10.200000, 0.004556
10.400000, 0.004461
10.600000, 0.004432
10.800000, 0.004523
11.000000, 0.004476
11.200000, 0.004425
11.400000, 0.004492
11.600000, 0.004393
11.800000, 0.004502
12.000000, 0.004327
12.200000, 0.004406
12.400000, 0.004480
12.600000, 0.004346
12.800000, 0.004302
13.000000, 0.004286
13.200000, 0.004285
13.400000, 0.004361
13.600000, 0.004268
13.800000, 0.004602
14.000000, 0.005062
14.200000, 0.004670
14.400000, 0.004446
14.600000, 0.004381
14.800000, 0.003867
15.000000, 0.001740
15.200000, 0.000000
15.400000, 0.000000
