Run Index, Segregation Time steps (f045_s040_t00)
1, 570000
2, 1475000
3, 1908000
4, 982000
5, 2929000
6, 1493000
7, 953000
8, 771000
9, 1514000
10, 2072000
11, 1053000
12, 1325000
13, 1184000
14, 1043000
15, 645000
16, 1714000
17, 3133000
18, 498000
19, 1422000
20, 648000
21, 544000
22, 1370000
23, 1133000
24, 1121000
25, 962000
26, 1316000
27, 862000
28, 974000
29, 1308000
30, 1764000
31, 702000
32, 1514000
33, 2058000
34, 1469000
35, 760000
36, 547000
37, 2096000
38, 992000
39, 600000
40, 1023000
41, 2400000
42, 1735000
43, 1992000
44, 682000
45, 1227000
46, 1183000
47, 1503000
48, 1216000
49, 1005000
50, 976000
