Run Index, Segregation Time steps (f048_s043_t00)
1, 50540000
2, 98920000
3, 14080000
4, 3860000
5, 29780000
6, 59240000
7, 14010000
8, 25730000
9, 16290000
10, 25530000
11, 12380000
12, 11380000
13, 8770000
14, 29680000
15, 41620000
16, 113780000
17, 10910000
18, 13750000
19, 13850000
20, 75120000
21, 121700000
22, 7100000
23, 30410000
24, 18170000
25, 16620000
26, 39360000
27, 13330000
28, 44260000
29, 41430000
30, 20390000
31, 16290000
32, 132300000
33, 9630000
34, 15960000
35, 6480000
36, 8300000
37, 16520000
38, 5840000
39, 9700000
40, 19430000
41, 18080000
42, 10810000
43, 36270000
44, 28230000
45, 27520000
46, 9830000
47, 42830000
48, 19530000
49, 19700000
50, 8370000
