Run Index, Segregation Time steps (f048_s043_t00)
1, 1780000
2, 6820000
3, 2040000
4, 3080000
5, 2710000
6, 2760000
7, 233420000
8, 5040000
9, 2370000
10, 2380000
11, 11370000
12, 1570000
13, 2540000
14, 4630000
15, 5190000
16, 7120000
17, 5300000
18, 4730000
19, 3370000
20, 13670000
21, 2670000
22, 2170000
23, 3140000
24, 3510000
25, 4480000
26, 8900000
27, 3000000
28, 3080000
29, 84930000
30, 15260000
31, 5060000
32, 4600000
33, 2310000
34, 8860000
35, 2510000
36, 3940000
37, 4330000
38, 5680000
39, 1650000
40, 5140000
41, 3550000
42, 3560000
43, 4980000
44, 2460000
45, 2290000
46, 2910000
47, 3220000
48, 2540000
49, 5160000
50, 5230000
