Run Index, Segregation Time steps (f045_s040_t00)
1, 1399000
2, 1187000
3, 808000
4, 1032000
5, 1657000
6, 1241000
7, 1110000
8, 2927000
9, 1664000
10, 426000
11, 498000
12, 640000
13, 1276000
14, 718000
15, 1450000
16, 1270000
17, 1193000
18, 1040000
19, 674000
20, 599000
21, 1414000
22, 669000
23, 1150000
24, 671000
25, 456000
26, 946000
27, 913000
28, 984000
29, 1396000
30, 1019000
31, 2176000
32, 3566000
33, 1595000
34, 1056000
35, 738000
36, 894000
37, 1071000
38, 490000
39, 770000
40, 1736000
41, 1727000
42, 875000
43, 1833000
44, 1316000
45, 3750000
46, 1011000
47, 1197000
48, 1577000
49, 1396000
50, 487000
