Run Index, Segregation Time steps (f048_s043_t00)
1, 12160000
2, 23360000
3, 8660000
4, 18120000
5, 11400000
6, 6740000
7, 15920000
8, 5470000
9, 8050000
10, 4330000
11, 48520000
12, 9970000
13, 9940000
14, 12050000
15, 7400000
16, 17830000
18, 10990000
19, 5040000
20, 8480000
21, 10150000
22, 5850000
23, 8220000
24, 7690000
25, 5460000
26, 5700000
27, 14820000
28, 10360000
29, 28300000
30, 5700000
31, 7650000
32, 11020000
33, 9150000
34, 11300000
35, 8570000
36, 5700000
37, 4620000
38, 21130000
39, 32860000
40, 31490000
41, 15990000
42, 11020000
43, 15450000
44, 10270000
45, 8490000
46, 6540000
47, 8300000
48, 8120000
49, 7120000
50, 10540000
