Run Index, Segregation Time steps (f048_s043_t00)
1, 219000
2, 1052000
3, 202000
4, 315000
5, 235000
6, 209000
7, 94000
9, 133000
10, 336000
11, 107000
12, 172000
13, 734000
14, 263000
15, 306000
16, 264000
17, 1035000
18, 264000
19, 161000
20, 203000
21, 331000
22, 512000
23, 170000
24, 561000
25, 151000
26, 149000
27, 185000
28, 482000
29, 510000
30, 543000
31, 164000
32, 463000
33, 232000
34, 1325000
35, 729000
37, 216000
38, 273000
39, 121000
40, 114000
42, 499000
43, 96000
44, 228000
45, 178000
46, 220000
47, 584000
48, 138000
49, 790000
50, 141000
