Architecture, R_g, Cylinder Diameter
Arc_Lin, 19.669, 8.7
Arc-0, 6, 8.7
Arc-1-1_1-19, 8, 8.7
Arc-1-1_3-7, 8, 8.7
Arc-1-1_1-9, 8, 8.7
Arc-1-1_1-1, 8, 8.7
Arc-1-2, 8, 8.7
Arc-1-5, 7, 8.7
Arc-1-10, 8, 8.7
