Run Index, Segregation Time steps (f048_s043_t00)
1, 3251000
2, 8960000
3, 3979000
4, 11098000
5, 19187000
6, 14113000
7, 1062000
8, 13861000
9, 2242000
10, 19586000
11, 3995000
12, 7115000
13, 5061000
14, 22569000
15, 1350000
16, 2816000
17, 466000
18, 15118000
21, 10095000
22, 37532000
23, 3435000
24, 31037000
25, 17567000
26, 16336000
27, 938000
28, 15358000
29, 575000
30, 919000
31, 12787000
32, 3970000
33, 3758000
34, 38430000
35, 3031000
36, 3797000
37, 12561000
38, 21413000
40, 12882000
41, 2842000
42, 10866000
44, 19859000
45, 704000
46, 11229000
47, 12329000
48, 12615000
49, 10111000
50, 7244000
