Run Index, Segregation Time steps (f048_s043_t00)
1, 10470000
2, 14050000
3, 3130000
4, 10540000
5, 6290000
6, 5920000
7, 23400000
8, 83860000
9, 9930000
10, 9110000
11, 21740000
12, 10920000
13, 21370000
14, 6910000
15, 9910000
16, 17790000
17, 24180000
18, 33490000
19, 26430000
20, 7910000
21, 16190000
22, 8570000
23, 80460000
24, 18360000
25, 6620000
26, 16150000
27, 10570000
28, 7740000
29, 5950000
30, 9360000
31, 12160000
32, 5700000
33, 6170000
34, 9110000
35, 7350000
36, 9070000
37, 13680000
38, 25610000
39, 132080000
40, 19020000
41, 9340000
42, 7680000
43, 9050000
44, 14370000
45, 10030000
46, 45880000
47, 7510000
48, 9360000
49, 9480000
50, 39330000
