Run Index, Segregation Time steps (f048_s043_t00)
1, 13060000
2, 4010000
3, 6990000
4, 4960000
5, 4080000
6, 2730000
7, 1950000
8, 2290000
9, 3450000
10, 2840000
11, 2110000
12, 10410000
13, 4070000
14, 6690000
15, 8770000
16, 3460000
17, 3560000
18, 4400000
19, 2980000
20, 11380000
21, 8520000
22, 3840000
23, 4230000
24, 4180000
25, 5980000
26, 2220000
27, 4770000
28, 4340000
29, 2170000
30, 3120000
31, 6370000
32, 1950000
33, 8640000
34, 3440000
35, 2030000
36, 4640000
37, 17530000
38, 8430000
39, 5840000
40, 4340000
41, 3470000
42, 9670000
43, 3420000
44, 3990000
45, 11380000
46, 5620000
47, 7740000
48, 5900000
49, 3450000
50, 2700000
