Architecture, R_g, Cylinder Diameter
Arc-0, 8.341481, 6.24
Arc-1-1_1-19, 8.240294, 6.24
Arc-1-1_1-9, 8.097395, 6.24
Arc-1-1_3-7, 7.708969, 6.24
Arc1-1_1-1, 7.653176, 6.24
Arc-1-2, 6.876090, 6.24
Arc-1-5, 6.336656, 6.24
Arc-1-10, 6.517278, 6.24
