Run Index, Segregation Time steps (f048_s043_t00)
1, 5880000
2, 6570000
4, 11770000
5, 13890000
6, 49190000
7, 7350000
8, 12060000
9, 2600000
10, 2560000
11, 6720000
12, 9270000
13, 13760000
14, 6170000
15, 19960000
16, 12740000
17, 7460000
18, 5930000
19, 13160000
20, 13740000
21, 14840000
22, 5230000
23, 5990000
24, 12410000
25, 7070000
26, 12290000
27, 5520000
28, 4930000
29, 5940000
30, 11530000
31, 4820000
32, 17000000
33, 17670000
34, 5520000
35, 13740000
36, 4230000
37, 16120000
38, 5650000
39, 3460000
40, 8090000
41, 16320000
42, 9760000
43, 6320000
44, 13810000
45, 7840000
46, 9780000
47, 7210000
48, 6970000
49, 6320000
50, 9650000
