Run Index, Segregation Time steps (f045_s040_t00)
1, 366000
2, 467000
3, 881000
4, 1000000
5, 725000
6, 1102000
7, 2308000
8, 2214000
9, 398000
10, 1248000
11, 719000
12, 1629000
13, 1383000
14, 619000
15, 1381000
16, 497000
17, 2141000
18, 915000
19, 582000
20, 938000
21, 1273000
22, 913000
23, 845000
24, 1772000
25, 509000
26, 2123000
27, 1584000
28, 994000
29, 1321000
30, 1226000
31, 1095000
32, 2173000
33, 913000
34, 482000
35, 1513000
36, 1595000
37, 1360000
38, 957000
39, 1916000
40, 755000
41, 2442000
42, 1124000
43, 689000
44, 393000
45, 1165000
46, 1652000
47, 849000
48, 961000
49, 1067000
50, 819000
