Run Index, Segregation Time steps (f048_s043_t00)
1, 29000000
2, 21850000
3, 5980000
4, 31990000
5, 4670000
6, 7800000
7, 27170000
8, 92050000
9, 4680000
10, 13760000
11, 11430000
12, 6840000
13, 17060000
14, 10930000
15, 8930000
16, 7720000
17, 23200000
18, 9520000
19, 10420000
20, 6790000
21, 18990000
22, 18980000
23, 37600000
24, 12080000
25, 7590000
26, 13060000
27, 13450000
28, 6550000
29, 8090000
30, 3540000
31, 9800000
32, 8410000
33, 18810000
34, 11580000
35, 8830000
36, 5930000
37, 24370000
38, 6890000
39, 16640000
40, 26400000
41, 7290000
42, 8120000
43, 11260000
44, 5640000
45, 12810000
46, 15590000
47, 10360000
48, 18690000
49, 121330000
50, 4040000
