Run Index, Segregation Time steps (f045_s040_t00)
1, 466000
2, 582000
3, 370000
4, 390000
5, 388000
6, 656000
7, 348000
8, 199000
9, 705000
10, 283000
11, 410000
12, 1360000
13, 761000
14, 564000
15, 313000
16, 306000
17, 422000
18, 775000
19, 249000
20, 565000
21, 569000
22, 634000
23, 927000
24, 458000
25, 437000
26, 388000
27, 154000
28, 418000
29, 320000
30, 316000
31, 612000
32, 664000
33, 432000
34, 1378000
35, 1258000
36, 814000
37, 588000
38, 485000
39, 2083000
40, 530000
41, 510000
42, 1040000
43, 624000
44, 309000
45, 684000
46, 360000
47, 893000
48, 896000
49, 357000
50, 1459000
