Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.018055
-15.000000, 0.038587
-14.800000, 0.036147
-14.600000, 0.034223
-14.400000, 0.033973
-14.200000, 0.036422
-14.000000, 0.033214
-13.800000, 0.031230
-13.600000, 0.030770
-13.400000, 0.032008
-13.200000, 0.031717
-13.000000, 0.032114
-12.800000, 0.033045
-12.600000, 0.032183
-12.400000, 0.032204
-12.200000, 0.032970
-12.000000, 0.032483
-11.800000, 0.032351
-11.600000, 0.032632
-11.400000, 0.032811
-11.200000, 0.033142
-11.000000, 0.033373
-10.800000, 0.032911
-10.600000, 0.033389
-10.400000, 0.033532
-10.200000, 0.032992
-10.000000, 0.032954
-9.800000, 0.033404
-9.600000, 0.033813
-9.400000, 0.033032
-9.200000, 0.032917
-9.000000, 0.033542
-8.800000, 0.033426
-8.600000, 0.033404
-8.400000, 0.033357
-8.200000, 0.033160
-8.000000, 0.033464
-7.800000, 0.032939
-7.600000, 0.032601
-7.400000, 0.032670
-7.200000, 0.032854
-7.000000, 0.032598
-6.800000, 0.032782
-6.600000, 0.032301
-6.400000, 0.032867
-6.200000, 0.032495
-6.000000, 0.032264
-5.800000, 0.032945
-5.600000, 0.032289
-5.400000, 0.032398
-5.200000, 0.032542
-5.000000, 0.032904
-4.800000, 0.033089
-4.600000, 0.031733
-4.400000, 0.031876
-4.200000, 0.032523
-4.000000, 0.031814
-3.800000, 0.032254
-3.600000, 0.031408
-3.400000, 0.031148
-3.200000, 0.031055
-3.000000, 0.030980
-2.800000, 0.030446
-2.600000, 0.030230
-2.400000, 0.029596
-2.200000, 0.029686
-2.000000, 0.028280
-1.800000, 0.027902
-1.600000, 0.027031
-1.400000, 0.026312
-1.200000, 0.024488
-1.000000, 0.023469
-0.800000, 0.022785
-0.600000, 0.020504
-0.400000, 0.018139
-0.200000, 0.017411
0.000000, 0.015337
0.200000, 0.013340
0.400000, 0.012088
0.600000, 0.010204
0.800000, 0.008713
1.000000, 0.007442
1.200000, 0.006352
1.400000, 0.005371
1.600000, 0.004639
1.800000, 0.003818
2.000000, 0.003262
2.200000, 0.002812
2.400000, 0.002456
2.600000, 0.002053
2.800000, 0.001762
3.000000, 0.001459
3.200000, 0.001178
3.400000, 0.001009
3.600000, 0.000828
3.800000, 0.000800
4.000000, 0.000590
4.200000, 0.000447
4.400000, 0.000425
4.600000, 0.000434
4.800000, 0.000350
5.000000, 0.000328
5.200000, 0.000347
5.400000, 0.000259
5.600000, 0.000278
5.800000, 0.000275
6.000000, 0.000278
6.200000, 0.000281
6.400000, 0.000172
6.600000, 0.000275
6.800000, 0.000241
7.000000, 0.000241
7.200000, 0.000275
7.400000, 0.000194
7.600000, 0.000219
7.800000, 0.000241
8.000000, 0.000216
8.200000, 0.000241
8.400000, 0.000216
8.600000, 0.000191
8.800000, 0.000175
9.000000, 0.000253
9.200000, 0.000269
9.400000, 0.000209
9.600000, 0.000181
9.800000, 0.000241
10.000000, 0.000256
10.200000, 0.000259
10.400000, 0.000241
10.600000, 0.000284
10.800000, 0.000278
11.000000, 0.000272
11.200000, 0.000237
11.400000, 0.000334
11.600000, 0.000281
11.800000, 0.000284
12.000000, 0.000291
12.200000, 0.000350
12.400000, 0.000347
12.600000, 0.000287
12.800000, 0.000359
13.000000, 0.000347
13.200000, 0.000331
13.400000, 0.000362
13.600000, 0.000359
13.800000, 0.000312
14.000000, 0.000416
14.200000, 0.000372
14.400000, 0.000359
14.600000, 0.000347
14.800000, 0.000441
15.000000, 0.000175
15.200000, 0.000000
15.400000, 0.000000
