Time Step, x CoM, y CoM, z CoM
1490000, 0.071010, 0.008914, 7.536034
1500000, -0.023464, 0.125818, 7.578408
1510000, 0.115635, 0.055768, 7.374452
1520000, 0.161888, 0.096031, 7.872711
1530000, -0.047919, 0.008946, 7.765380
1540000, 0.036116, -0.066499, 7.742375
1550000, -0.046379, -0.008200, 7.806043
1560000, -0.033283, 0.129866, 7.804240
1570000, 0.067481, -0.025572, 7.618467
1580000, 0.012077, -0.045956, 7.810301
1590000, -0.014819, -0.023967, 7.569329
1600000, 0.044801, 0.044620, 7.609945
1610000, 0.035511, -0.079701, 7.650131
1620000, 0.050559, -0.030849, 7.881220
1630000, 0.057075, -0.101486, 7.692057
1640000, -0.074407, 0.094802, 7.471681
1650000, 0.036710, 0.098302, 7.836192
1660000, 0.077455, -0.030612, 7.680346
1670000, 0.184487, -0.063435, 7.026292
1680000, -0.003098, -0.058063, 7.671728
1690000, 0.036648, 0.081710, 7.818798
1700000, 0.129126, -0.037986, 7.037576
1710000, 0.191642, 0.010695, 7.541319
1720000, 0.215634, -0.056534, 7.248289
1730000, 0.302183, -0.046360, 7.046518
1740000, 0.239775, -0.293571, 6.773725
1750000, -0.160571, -0.352561, 6.874675
1760000, 0.051865, -0.271602, 7.396839
1770000, -0.022660, -0.194638, 7.449770
1780000, -0.184455, 0.111606, 7.315249
1790000, -0.176455, -0.102330, 7.459743
1800000, -0.041711, 0.066513, 7.174830
1810000, -0.037364, 0.121507, 7.540388
1820000, 0.064232, 0.086566, 7.562310
1830000, 0.129394, -0.019294, 7.113785
1840000, 0.108756, 0.031024, 7.897628
1850000, 0.092922, -0.163427, 7.748304
1860000, -0.010856, -0.119539, 7.151898
1870000, 0.028338, 0.002833, 7.768973
1880000, 0.059829, -0.076804, 7.368233
1890000, -0.084886, 0.030426, 7.531182
1900000, 0.054949, 0.108109, 7.726103
1910000, 0.017550, 0.061232, 7.542871
1920000, -0.021951, 0.088827, 7.960389
1930000, 0.075616, 0.039844, 8.175378
1940000, 0.112813, -0.201285, 7.345990
1950000, -0.122480, 0.001663, 7.539927
1960000, 0.161553, 0.050207, 7.331105
1970000, -0.036322, -0.018293, 7.767578
1980000, -0.014931, -0.046139, 7.667591
1990000, 0.035357, 0.030901, 6.989010
2000000, -0.022053, 0.018577, 7.754206
2010000, -0.030613, -0.008632, 7.762602
2020000, 0.046093, 0.077301, 7.709507
2030000, -0.007734, -0.061858, 7.556710
2040000, -0.010767, 0.060608, 7.587501
2050000, -0.089554, -0.042637, 7.327524
2060000, -0.014061, 0.053025, 7.847403
2070000, -0.126011, -0.023910, 7.923624
2080000, -0.181841, -0.052227, 7.650757
2090000, -0.010627, 0.018780, 7.731778
2100000, 0.054913, 0.004996, 7.554061
2110000, -0.034687, -0.120375, 7.492189
2120000, 0.044131, 0.075078, 7.427442
2130000, -0.027642, -0.173675, 7.568398
2140000, -0.016452, 0.066257, 7.694455
2150000, -0.076886, -0.039267, 7.284902
2160000, -0.006433, 0.046194, 7.758398
2170000, -0.071187, -0.070165, 7.732873
2180000, 0.028238, 0.078302, 7.371213
2190000, -0.037780, 0.026644, 7.097892
