Time Step, x CoM, y CoM, z CoM
0, 0.208712, 0.374771, -0.000000
10000, 0.084339, 0.457078, -0.251549
20000, 0.303548, 0.522730, -0.495161
30000, 0.558800, 0.299697, -1.102485
40000, 0.465938, 0.419622, -0.775187
50000, 0.503061, 0.426789, -1.102113
60000, 0.570123, 0.320879, -0.518561
70000, 0.227383, 0.017016, -0.632253
80000, 0.262876, 0.025162, -1.384590
90000, 0.174406, 0.195415, -1.097113
100000, -0.023450, 0.295425, -1.476683
110000, -0.237505, 0.107832, -1.174938
120000, -0.267700, 0.175459, -1.449463
130000, -0.250082, 0.339897, -1.353371
140000, 0.186684, 0.196558, -1.419148
150000, 0.265271, 0.191487, -0.862780
160000, 0.358354, 0.192305, -1.725882
170000, -0.018923, 0.333984, -1.315831
180000, 0.060469, 0.271888, -0.929918
190000, 0.048569, 0.006518, -1.572619
200000, 0.410044, -0.039254, -1.782989
210000, 0.363808, 0.190271, -1.881654
220000, 0.217006, -0.283716, -1.345095
230000, 0.161624, -0.210081, -1.217333
240000, 0.131966, -0.444156, -0.743777
250000, 0.010272, -0.318581, -0.172889
260000, 0.081213, -0.639756, -0.080261
270000, 0.096575, -0.515353, 0.219328
280000, 0.031156, -0.680125, 0.138098
290000, 0.006715, -0.610804, -0.455379
300000, -0.144482, -0.656707, -0.509901
310000, -0.172456, -0.714680, -0.439555
320000, 0.134362, -0.774952, -1.131177
330000, 0.036921, -0.769445, -1.277505
340000, 0.114034, -0.859270, -0.403120
350000, 0.452962, -0.460435, -0.933876
360000, 0.674711, -0.364218, -1.336653
370000, 0.333683, -0.216139, -1.818833
380000, 0.351784, -0.396381, -1.537635
390000, 0.174476, -0.265569, -2.600565
400000, 0.186057, -0.038579, -1.781060
410000, -0.145630, -0.264107, -2.800099
420000, -0.045305, -0.365979, -2.654213
430000, -0.148241, -0.294394, -1.962087
440000, 0.169671, -0.448468, -1.040906
450000, -0.067108, -0.386111, -1.593073
460000, 0.208988, -0.108188, -0.654918
470000, 0.016421, -0.102322, -0.318791
480000, 0.142058, -0.392856, -1.038856
490000, 0.031443, -0.236849, -0.689678
500000, 0.290101, -0.275177, -0.390498
510000, 0.414717, -0.065256, -0.110952
520000, 0.346280, -0.248892, -0.348442
530000, 0.125612, -0.228620, 0.301526
540000, 0.458950, -0.044232, 0.240893
550000, 0.149261, -0.227171, 0.410184
560000, 0.383923, 0.149074, 0.467056
570000, 0.365727, -0.011087, 0.550822
580000, 0.370790, -0.168897, 0.611509
590000, 0.446892, 0.451223, 0.556249
600000, 0.322698, 0.357742, 0.258975
610000, 0.271616, 0.027459, 0.513957
620000, 0.457766, 0.157508, 1.052470
630000, 0.441146, -0.011245, -0.020641
640000, 0.377142, -0.126473, 0.417290
650000, 0.574244, -0.240844, 0.342342
660000, 0.510428, -0.316708, -0.479884
670000, 0.238549, -0.113683, -1.327571
680000, 0.696248, 0.192435, -0.808581
690000, 0.722659, 0.058462, -0.838263
700000, 0.419567, -0.156293, -0.494976
710000, 0.391415, -0.303410, -1.475556
720000, 0.127180, -0.105832, -1.921929
730000, 0.030163, -0.377288, -2.729117
740000, -0.109437, -0.224324, -2.811851
750000, -0.142562, -0.371173, -2.740945
760000, 0.140156, 0.061224, -2.217119
770000, 0.215872, 0.185680, -2.195734
780000, 0.313049, 0.103282, -1.901518
790000, -0.254742, -0.220474, -2.086191
800000, -0.205215, -0.413465, -3.341733
810000, -0.489048, -0.523272, -4.179747
820000, -0.500383, -0.726703, -4.425288
830000, 0.212844, -0.670776, -4.774226
840000, 0.315930, -0.440284, -5.333683
850000, 0.212508, -0.439355, -5.649095
860000, 0.497208, -0.275493, -6.001085
870000, 0.259859, -0.308652, -6.319470
880000, 0.405354, -0.228497, -5.428911
890000, 0.388020, -0.091308, -5.271930
900000, 0.343129, -0.231490, -5.356968
910000, 0.251936, 0.142400, -6.080716
920000, 0.090308, 0.059474, -6.522570
930000, 0.077852, 0.212186, -6.703366
940000, 0.233882, 0.360227, -7.168095
950000, 0.357868, -0.053685, -6.518328
960000, 0.129488, -0.153980, -6.989599
970000, 0.344719, -0.065729, -6.748027
980000, 0.115022, 0.137588, -7.712572
990000, 0.020260, 0.025972, -7.656159
1000000, 0.056849, 0.132622, -7.430854
1010000, 0.018845, -0.042770, -7.503649
1020000, 0.087157, -0.031946, -7.327286
1030000, 0.347181, -0.152439, -6.999096
1040000, 0.031635, -0.237927, -7.492077
1050000, 0.025632, -0.049971, -7.881788
1060000, -0.059284, 0.026801, -7.704423
1070000, -0.176464, -0.025480, -7.455120
1080000, 0.049263, -0.048825, -7.677169
1090000, -0.015862, 0.074232, -7.986788
1100000, -0.005153, -0.111630, -7.448102
1110000, 0.035015, 0.036944, -7.436577
1120000, 0.076746, -0.024577, -7.653237
1130000, -0.104419, 0.016550, -7.817881
1140000, -0.149202, 0.116496, -7.723055
1150000, -0.233024, -0.069506, -7.649136
1160000, -0.124631, 0.002794, -7.659066
1170000, 0.053467, -0.022352, -7.353274
1180000, -0.030970, -0.003707, -7.753036
1190000, -0.000131, -0.004905, -7.000305
1200000, -0.128122, -0.086432, -7.378727
1210000, 0.167801, -0.062393, -7.766309
1220000, 0.000885, 0.009128, -7.411456
1230000, 0.210043, -0.100851, -8.282281
1240000, -0.049901, 0.005834, -7.509584
1250000, -0.063503, 0.058357, -7.198296
