Left Bin Edge, Probability density
0.000000, 0.043558
0.100000, 0.042325
0.200000, 0.043470
0.300000, 0.042148
0.400000, 0.042298
0.500000, 0.042162
0.600000, 0.042202
0.700000, 0.041540
0.800000, 0.040139
0.900000, 0.038841
1.000000, 0.038097
1.100000, 0.037890
1.200000, 0.038245
1.300000, 0.039088
1.400000, 0.040901
1.500000, 0.044383
1.600000, 0.046271
1.700000, 0.044953
1.800000, 0.044153
1.900000, 0.044603
2.000000, 0.046623
2.100000, 0.048718
2.200000, 0.051978
2.300000, 0.054422
2.400000, 0.057023
2.500000, 0.055260
2.600000, 0.009008
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
