Run Index, Segregation Time steps (f048_s043_t00)
1, 11000000
2, 7880000
3, 11510000
4, 9460000
5, 6970000
6, 17980000
7, 8490000
8, 10370000
9, 15910000
10, 19330000
11, 7910000
12, 5660000
13, 18520000
14, 10930000
15, 18830000
16, 12380000
17, 15870000
18, 11770000
19, 4190000
20, 4330000
21, 8420000
22, 7140000
23, 6820000
24, 8640000
25, 4660000
26, 9530000
27, 4820000
28, 11500000
29, 5720000
30, 4750000
31, 10050000
32, 13030000
33, 15010000
34, 7440000
35, 6120000
36, 12530000
37, 8830000
38, 12100000
39, 2730000
40, 9820000
41, 8940000
42, 4140000
43, 23050000
44, 4360000
45, 10330000
46, 7270000
47, 15610000
48, 6740000
49, 9170000
50, 7410000
