Run Index, Segregation Time steps (f048_s043_t00)
1, 9410000
2, 3210000
3, 5580000
4, 10050000
5, 3390000
6, 18700000
7, 6860000
8, 3510000
9, 7660000
10, 4400000
11, 3440000
12, 1220000
13, 13620000
14, 8720000
15, 7510000
16, 145090000
17, 3130000
18, 15420000
19, 5640000
20, 4450000
21, 15430000
22, 5540000
23, 3180000
24, 4280000
25, 2740000
26, 3000000
27, 4450000
28, 3200000
29, 3360000
30, 2840000
31, 2420000
32, 3930000
33, 9020000
34, 4070000
35, 4230000
36, 5760000
38, 2310000
39, 5560000
40, 15310000
41, 3930000
42, 3810000
43, 5950000
44, 12080000
45, 12130000
46, 12770000
47, 10000000
48, 6680000
49, 3470000
50, 4190000
