Run Index, Segregation Time steps (f048_s043_t00)
1, 22150000
2, 4510000
3, 3480000
4, 12100000
5, 4190000
6, 9490000
7, 6580000
8, 18710000
9, 2580000
10, 4140000
11, 7110000
12, 14340000
13, 11300000
14, 5180000
15, 10910000
16, 4530000
17, 5960000
18, 3410000
19, 4010000
20, 3520000
21, 4260000
22, 4490000
23, 5990000
24, 6220000
25, 16010000
26, 4110000
27, 7230000
28, 12670000
29, 12030000
30, 7070000
31, 9450000
32, 4930000
33, 16750000
34, 14660000
35, 7450000
36, 4310000
37, 3780000
38, 10730000
39, 5210000
40, 7260000
41, 4850000
42, 32100000
43, 18780000
44, 4580000
45, 18960000
46, 3690000
47, 9530000
48, 10290000
49, 12480000
50, 3030000
