Run Index, Segregation Time steps (f048_s043_t00)
1, 17160000
2, 2590000
3, 4180000
4, 4770000
5, 3510000
6, 3370000
7, 5210000
8, 6050000
9, 1980000
10, 2120000
11, 1220000
12, 3660000
13, 3550000
14, 8980000
15, 4890000
16, 5280000
17, 4760000
18, 3740000
19, 6860000
20, 3210000
21, 7730000
22, 2330000
23, 2430000
24, 2760000
25, 9390000
26, 6760000
27, 2640000
28, 2370000
29, 1780000
30, 1070000
31, 5190000
32, 9380000
33, 8710000
34, 3030000
35, 5090000
36, 4810000
37, 3100000
38, 3060000
39, 2380000
40, 13240000
41, 3680000
42, 17730000
43, 3240000
44, 11860000
45, 4810000
46, 2860000
47, 4440000
48, 2230000
49, 5780000
50, 11760000
