Run Index, Segregation Time steps (f048_s043_t00)
1, 164000
2, 161000
3, 243000
4, 269000
5, 252000
6, 343000
7, 225000
8, 135000
9, 233000
10, 236000
11, 235000
12, 192000
13, 152000
14, 224000
15, 260000
16, 209000
17, 181000
18, 274000
19, 191000
20, 288000
21, 147000
22, 270000
23, 182000
24, 150000
25, 144000
26, 151000
27, 242000
28, 136000
29, 272000
30, 156000
31, 245000
32, 219000
33, 156000
34, 118000
35, 205000
36, 153000
37, 121000
38, 235000
39, 124000
40, 342000
41, 147000
42, 187000
43, 307000
44, 229000
45, 178000
46, 249000
47, 143000
48, 185000
49, 235000
50, 147000
