Run Index, Segregation Time steps (f048_s043_t00)
1, 159000
2, 137000
3, 150000
4, 131000
5, 192000
6, 116000
7, 247000
8, 160000
9, 184000
10, 131000
11, 345000
12, 188000
13, 164000
14, 225000
15, 265000
16, 203000
17, 124000
18, 152000
19, 222000
20, 154000
21, 140000
22, 238000
23, 115000
24, 126000
25, 206000
26, 221000
27, 193000
28, 105000
29, 175000
30, 152000
31, 210000
32, 254000
33, 121000
34, 169000
35, 268000
36, 175000
37, 290000
38, 331000
39, 154000
40, 505000
41, 141000
42, 250000
43, 181000
44, 161000
45, 297000
46, 128000
47, 216000
48, 153000
49, 333000
50, 167000
