Run Index, Segregation Time steps (f045_s040_t00)
1, 9184000
2, 3540000
3, 233000
4, 3322000
5, 329000
6, 700000
7, 13179000
8, 861000
9, 2390000
10, 6633000
11, 381000
12, 3239000
13, 597000
14, 388000
15, 767000
16, 1136000
17, 944000
18, 617000
19, 2960000
20, 5561000
21, 3236000
22, 2812000
23, 357000
24, 12333000
25, 2797000
26, 555000
28, 1956000
29, 34648000
30, 584000
31, 5333000
32, 1355000
33, 678000
34, 761000
35, 692000
36, 1201000
37, 14220000
38, 223000
39, 1013000
40, 7047000
41, 545000
42, 538000
43, 1445000
44, 5474000
45, 594000
46, 496000
47, 18217000
48, 2112000
49, 3472000
50, 265000
