Run Index, Segregation Time steps (f045_s040_t00)
1, 902000
2, 1614000
3, 3304000
4, 817000
5, 14769000
6, 729000
7, 632000
8, 2134000
9, 1521000
10, 4164000
11, 1275000
12, 543000
13, 1513000
14, 1875000
15, 3270000
16, 716000
17, 1036000
18, 1114000
19, 2740000
20, 1401000
21, 1912000
22, 5424000
23, 1329000
24, 1438000
25, 1164000
26, 2416000
27, 2483000
28, 610000
29, 1335000
30, 507000
31, 1631000
32, 1339000
33, 2209000
34, 1946000
35, 2129000
36, 2827000
37, 934000
38, 7750000
39, 1590000
40, 18093000
41, 1379000
42, 13600000
43, 1135000
44, 1048000
45, 1180000
46, 319000
47, 7515000
48, 792000
49, 1085000
50, 376000
