Run Index, Segregation Time steps (f048_s043_t00)
1, 3380000
2, 16250000
3, 1240000
4, 5930000
5, 3050000
6, 11330000
7, 5870000
8, 6270000
9, 4290000
10, 5280000
11, 3700000
12, 4190000
13, 590000
14, 2250000
15, 13950000
16, 560000
17, 2340000
18, 740000
19, 6050000
20, 4880000
21, 5500000
22, 3330000
23, 9460000
24, 7530000
25, 8920000
26, 3830000
27, 2060000
28, 8700000
29, 3070000
30, 3300000
31, 580000
32, 3650000
33, 3780000
34, 1620000
35, 5150000
36, 3010000
37, 2650000
38, 4360000
39, 2250000
40, 4460000
41, 7030000
42, 2010000
43, 2570000
44, 790000
45, 1640000
46, 3840000
47, 1490000
48, 12180000
49, 8830000
50, 3600000
