Run Index, Segregation Time steps (f048_s043_t00)
1, 1362000
2, 934000
3, 762000
4, 667000
5, 1148000
6, 1167000
7, 1124000
8, 1013000
9, 1041000
10, 1148000
11, 1237000
12, 161000
13, 1364000
14, 2160000
15, 419000
16, 265000
17, 228000
18, 494000
19, 657000
20, 273000
21, 669000
22, 692000
23, 477000
24, 410000
25, 2433000
26, 1460000
27, 4884000
28, 820000
29, 1724000
30, 408000
31, 186000
32, 345000
33, 451000
34, 247000
35, 810000
36, 299000
37, 554000
38, 1277000
39, 270000
40, 2221000
41, 1041000
42, 1165000
43, 277000
44, 492000
45, 2597000
46, 785000
47, 704000
48, 413000
49, 273000
50, 797000
