Run Index, Segregation Time steps (f045_s040_t00)
1, 8033000
2, 2770000
3, 2351000
4, 1568000
5, 796000
6, 2261000
7, 1204000
8, 1117000
9, 1036000
10, 816000
11, 1394000
12, 1846000
13, 1524000
14, 1353000
15, 1340000
16, 2423000
17, 1586000
18, 1573000
19, 1279000
20, 989000
21, 1376000
22, 13202000
23, 1025000
24, 2350000
25, 2006000
26, 1060000
27, 1543000
28, 672000
29, 1016000
30, 10136000
31, 1501000
32, 1096000
33, 854000
34, 1281000
35, 1368000
36, 535000
37, 2225000
38, 10411000
39, 781000
40, 1162000
41, 938000
42, 2959000
43, 1192000
44, 1582000
45, 2095000
46, 718000
47, 1066000
48, 1008000
49, 3272000
50, 1854000
