Time Step, x CoM, y CoM, z CoM
13752000, -0.735654, -0.034053, -0.000001
13756000, -0.667397, 0.167982, 0.000000
13760000, -0.733282, 0.466374, 0.000001
13764000, -0.785989, 0.267693, -0.000001
13768000, -0.677410, 0.048673, 0.000001
13772000, -0.930855, 0.134044, -0.000001
13776000, -0.878968, 0.260843, 0.000002
13780000, -0.783921, 0.162675, -0.000002
13784000, -0.792670, 0.147081, 0.000002
13788000, -0.683677, 0.274474, 0.000001
13792000, -0.649768, 0.114757, -0.000000
13796000, -0.616039, 0.267285, -0.000002
13800000, -0.762752, 0.244856, -0.000002
13804000, -0.616817, 0.423722, 0.000000
13808000, -0.675182, 0.325962, 0.000001
13812000, -0.719362, 0.320137, -0.000002
13816000, -0.595301, 0.082974, -0.000001
13820000, -0.543062, -0.086142, 0.000000
13824000, -0.480252, -0.129249, 0.000000
13828000, -0.478950, 0.036270, 0.000001
13832000, -0.596242, 0.055813, -0.000002
13836000, -0.604730, -0.066382, -0.000001
13840000, -0.572011, -0.129456, -0.000001
13844000, -0.509704, -0.185180, 0.000001
13848000, -0.547981, -0.297649, 0.000001
13852000, -0.598872, -0.193183, 0.000000
13856000, -0.682857, -0.253360, 0.000001
13860000, -0.777172, -0.017864, 0.000001
13864000, -0.695566, -0.065138, 0.000002
13868000, -0.681729, 0.458937, -0.000000
13872000, -0.614621, 0.282938, 0.000002
13876000, -0.785780, 0.299048, -0.000001
13880000, -0.711261, 0.424630, -0.000002
13884000, -0.296005, 0.588272, -0.000001
13888000, -0.414214, 0.731705, -0.000001
13892000, -0.514025, 0.694592, 0.000000
13896000, -0.583246, 0.645318, 0.000000
13900000, -0.695442, 0.545720, -0.000001
13904000, -0.536450, 0.502817, 0.000000
13908000, -0.597934, 0.619423, -0.000001
13912000, -0.831964, 0.406799, 0.000001
13916000, -0.627448, 0.330355, 0.000001
13920000, -0.671494, 0.548081, 0.000001
13924000, -0.725688, 0.449953, -0.000001
13928000, -0.726523, 0.436323, -0.000000
13932000, -0.731126, 0.457798, 0.000000
13936000, -0.695514, 0.234094, 0.000001
13940000, -0.691316, 0.406076, -0.000002
13944000, -0.645939, 0.380885, -0.000000
13948000, -0.573929, 0.384050, 0.000000
13952000, -0.741324, 0.294279, 0.000003
13956000, -0.621525, 0.612142, 0.000001
13960000, -0.720497, 0.382255, 0.000002
13964000, -0.500742, 0.363658, 0.000001
13968000, -0.585276, 0.376481, -0.000000
13972000, -0.504179, 0.622504, 0.000000
13976000, -0.377167, 0.557128, -0.000001
13980000, -0.292977, 0.621120, -0.000001
13984000, -0.199258, 0.562817, -0.000000
13988000, -0.167800, 0.524996, 0.000001
13992000, -0.177872, 0.761002, -0.000001
13996000, -0.167978, 0.694929, 0.000001
14000000, -0.179754, 0.715835, 0.000001
14004000, -0.177951, 0.740285, 0.000001
14008000, -0.353506, 0.627324, -0.000002
14012000, -0.326553, 0.566061, -0.000001
14016000, -0.315764, 0.708268, -0.000002
14020000, -0.181616, 0.727462, 0.000001
14024000, -0.052829, 0.666659, 0.000001
14028000, -0.165400, 0.718767, 0.000001
14032000, -0.434513, 0.668238, 0.000001
14036000, -0.242455, 0.761134, 0.000002
14040000, -0.448792, 0.719337, -0.000003
14044000, -0.239124, 0.756690, 0.000000
14048000, -0.175146, 0.852941, 0.000001
14052000, -0.269563, 0.709060, 0.000000
14056000, -0.511167, 0.718843, 0.000001
14060000, -0.417883, 0.806264, -0.000001
14064000, -0.665404, 0.557748, 0.000000
14068000, -0.645511, 0.384111, -0.000000
14072000, -0.634293, 0.322410, 0.000002
14076000, -0.541395, 0.225965, -0.000000
14080000, -0.458763, 0.277888, -0.000000
14084000, -0.502582, 0.490883, 0.000001
14088000, -0.464384, 0.572985, -0.000001
14092000, -0.334022, 0.337900, -0.000000
14096000, -0.502491, 0.340751, -0.000002
14100000, -0.310979, 0.323551, 0.000000
14104000, -0.246180, 0.514350, 0.000001
14108000, -0.474022, 0.348075, -0.000000
14112000, -0.391786, 0.322544, -0.000001
14116000, -0.349241, 0.264034, 0.000000
14120000, -0.270699, 0.384420, -0.000000
14124000, -0.242846, 0.405146, -0.000002
14128000, -0.474058, 0.462123, -0.000001
14132000, -0.193761, 0.308963, -0.000001
14136000, -0.301548, 0.301914, -0.000000
14140000, -0.302936, 0.327899, -0.000000
14144000, -0.219517, 0.491877, -0.000000
14148000, -0.156560, 0.413603, -0.000001
14152000, 0.031165, 0.459738, 0.000001
14156000, 0.185485, 0.345560, -0.000002
14160000, -0.021785, 0.400020, 0.000000
14164000, 0.134790, 0.375460, 0.000001
14168000, 0.273529, 0.397112, -0.000001
14172000, 0.203814, 0.414602, 0.000001
14176000, 0.116003, 0.502241, -0.000000
14180000, 0.217801, 0.449582, -0.000000
14184000, 0.075361, 0.222454, -0.000000
14188000, 0.022616, 0.361168, 0.000001
14192000, 0.082417, 0.273446, -0.000002
14196000, 0.168995, 0.403340, 0.000003
14200000, -0.062380, 0.450886, -0.000001
14204000, -0.153916, 0.304732, 0.000000
14208000, -0.264946, 0.485658, -0.000001
14212000, -0.332578, 0.418684, 0.000001
14216000, -0.165380, 0.617735, 0.000000
14220000, -0.236681, 0.646769, -0.000003
14224000, -0.341113, 0.642817, -0.000001
14228000, -0.142638, 0.720334, 0.000000
14232000, -0.137602, 0.735874, -0.000002
14236000, 0.002993, 0.749315, 0.000001
14240000, -0.037954, 0.561442, -0.000001
14244000, 0.188301, 0.707203, 0.000000
14248000, 0.275665, 0.705161, -0.000000
14252000, 0.178275, 0.521997, 0.000001
14256000, 0.294329, 0.652833, 0.000000
14260000, 0.293263, 0.621500, -0.000001
14264000, 0.142891, 0.536226, -0.000000
14268000, -0.000269, 0.664164, -0.000000
14272000, -0.250090, 0.611787, -0.000001
14276000, -0.076464, 0.562088, 0.000001
14280000, -0.085607, 0.495103, 0.000000
14284000, -0.309875, 0.383689, 0.000001
14288000, -0.142442, 0.284183, -0.000001
14292000, -0.073069, 0.417071, -0.000000
14296000, -0.331253, 0.294515, 0.000002
14300000, -0.230299, 0.341677, 0.000001
14304000, -0.205407, 0.285502, 0.000001
14308000, 0.023339, 0.311365, -0.000001
14312000, -0.130709, 0.343304, -0.000000
14316000, 0.080334, 0.382792, -0.000001
14320000, 0.001022, 0.681886, 0.000002
14324000, -0.090508, 0.371673, -0.000001
14328000, 0.033410, 0.342956, 0.000000
14332000, 0.204672, 0.302587, 0.000001
14336000, 0.166384, 0.173884, 0.000001
14340000, 0.147785, 0.234989, 0.000000
14344000, 0.252726, 0.327668, -0.000000
14348000, 0.163586, 0.032323, -0.000001
14352000, 0.264844, 0.146906, 0.000001
14356000, 0.352464, 0.151230, 0.000001
14360000, 0.175109, 0.040932, 0.000000
14364000, 0.254373, 0.224184, 0.000000
14368000, 0.287374, 0.090648, 0.000002
14372000, 0.187274, 0.171622, -0.000000
14376000, 0.017808, 0.306733, -0.000000
14380000, -0.035175, 0.414582, -0.000001
14384000, -0.040026, 0.049042, -0.000001
14388000, 0.081329, 0.246373, -0.000002
14392000, 0.175780, 0.239137, 0.000001
14396000, 0.335214, 0.366402, -0.000001
14400000, 0.229186, 0.207645, 0.000001
14404000, 0.342910, 0.321832, 0.000001
14408000, 0.315553, 0.234835, 0.000001
14412000, 0.358549, 0.305179, -0.000001
14416000, 0.209888, 0.232217, -0.000002
14420000, 0.060061, 0.351166, 0.000000
14424000, 0.155784, 0.368033, -0.000000
14428000, 0.253508, 0.288244, -0.000000
14432000, 0.180935, 0.213563, -0.000002
14436000, 0.202943, 0.174060, -0.000002
14440000, 0.130492, 0.105754, 0.000001
14444000, -0.052255, 0.121231, -0.000000
14448000, -0.047504, -0.003758, 0.000001
14452000, -0.038361, -0.006497, 0.000000
14456000, 0.226287, -0.023170, 0.000000
14460000, 0.099432, 0.127483, 0.000000
14464000, 0.063473, 0.023170, -0.000001
14468000, 0.181318, 0.068956, 0.000001
14472000, 0.036486, 0.181155, 0.000001
14476000, 0.276482, 0.270050, 0.000001
14480000, 0.208634, 0.232124, -0.000001
14484000, 0.108387, 0.262790, -0.000001
14488000, 0.113283, 0.039017, 0.000000
14492000, 0.226013, 0.110045, 0.000001
14496000, 0.313169, 0.345897, -0.000000
14500000, 0.165963, 0.166863, -0.000001
14504000, 0.191585, 0.332321, -0.000001
14508000, 0.236702, 0.391762, 0.000001
14512000, 0.316095, 0.264221, 0.000001
14516000, 0.558211, 0.067771, 0.000001
14520000, 0.394430, 0.037416, -0.000002
14524000, 0.492188, 0.000693, 0.000002
14528000, 0.370855, 0.167667, 0.000002
14532000, 0.206292, -0.165461, -0.000001
14536000, 0.581997, -0.153408, 0.000001
14540000, 0.358453, -0.094526, -0.000000
14544000, 0.238840, -0.056055, 0.000001
14548000, 0.281193, 0.042318, -0.000000
14552000, 0.294447, 0.086453, 0.000000
14556000, 0.305699, 0.104423, -0.000000
14560000, 0.361131, 0.080504, -0.000002
14564000, 0.475236, 0.250847, -0.000000
14568000, 0.446585, 0.154795, 0.000000
14572000, 0.328734, 0.280347, -0.000001
14576000, 0.309387, 0.370407, -0.000000
14580000, 0.330918, 0.315597, 0.000001
14584000, 0.216559, 0.280060, -0.000001
14588000, 0.139874, 0.152620, 0.000002
14592000, 0.128810, 0.149347, -0.000001
14596000, -0.016091, 0.299387, -0.000001
14600000, 0.107162, 0.389251, 0.000001
14604000, -0.081598, 0.327677, 0.000002
14608000, -0.002376, 0.191965, 0.000000
14612000, 0.043782, -0.032956, 0.000001
14616000, -0.031600, 0.140420, 0.000001
14620000, -0.063269, 0.114285, -0.000003
14624000, 0.106168, -0.019147, -0.000001
14628000, 0.111111, 0.278386, 0.000002
14632000, -0.145025, 0.338615, 0.000001
14636000, 0.033133, 0.333289, -0.000001
14640000, -0.021450, 0.238696, -0.000002
14644000, -0.191544, 0.503882, -0.000000
14648000, -0.235911, 0.490337, 0.000001
14652000, -0.151097, 0.657817, -0.000001
14656000, 0.139597, 0.629273, -0.000000
14660000, 0.361514, 0.662614, 0.000000
14664000, 0.033981, 0.759427, 0.000002
14668000, 0.351004, 0.660836, 0.000000
14672000, 0.103328, 0.736139, -0.000001
14676000, -0.086323, 0.722038, 0.000001
14680000, -0.058354, 0.858883, -0.000000
14684000, -0.215913, 0.883745, -0.000002
14688000, 0.037571, 0.718144, -0.000002
14692000, 0.170709, 0.808561, -0.000002
14696000, -0.209529, 0.792477, -0.000001
14700000, -0.336796, 0.683111, -0.000001
14704000, -0.164694, 0.678800, 0.000002
14708000, -0.022159, 0.712329, -0.000001
14712000, -0.084152, 0.699730, -0.000001
14716000, -0.159654, 0.782588, 0.000001
14720000, -0.006731, 0.741557, -0.000001
14724000, 0.011307, 0.925567, 0.000002
14728000, -0.216984, 0.832539, -0.000001
14732000, -0.189492, 0.804647, 0.000001
14736000, -0.339310, 0.806876, -0.000001
14740000, -0.339936, 0.755530, -0.000001
14744000, -0.428648, 0.615500, 0.000000
14748000, -0.552138, 0.422352, -0.000001
14752000, -0.554697, 0.342434, 0.000001
14756000, -0.408943, 0.394163, -0.000000
14760000, -0.525067, 0.225111, -0.000001
14764000, -0.409465, 0.466928, 0.000001
14768000, -0.503477, 0.355410, -0.000002
14772000, -0.384842, 0.528275, 0.000001
14776000, -0.235701, 0.480767, -0.000002
14780000, -0.137649, 0.432107, -0.000002
14784000, -0.125050, 0.398672, -0.000002
14788000, -0.119229, 0.559803, -0.000001
