Time Step, x CoM, y CoM, z CoM
14328000, -0.127133, -0.347280, 0.000002
14332000, -0.053164, -0.326569, 0.000002
14336000, -0.187998, -0.021820, -0.000001
14340000, -0.168988, -0.275979, -0.000000
14344000, -0.184020, -0.310049, 0.000000
14348000, -0.292915, -0.044986, -0.000000
14352000, -0.342246, -0.189903, -0.000001
14356000, -0.320547, -0.231543, 0.000001
14360000, -0.154709, -0.161508, -0.000002
14364000, -0.104420, -0.167503, 0.000003
14368000, -0.357620, -0.236161, 0.000001
14372000, -0.121704, -0.219534, 0.000002
14376000, 0.117859, -0.258840, -0.000001
14380000, 0.110314, -0.283286, -0.000001
14384000, 0.023879, -0.071378, 0.000002
14388000, -0.181780, -0.173758, 0.000002
14392000, -0.180246, -0.385714, 0.000002
14396000, -0.359088, -0.205850, 0.000000
14400000, -0.218267, -0.166369, 0.000002
14404000, -0.100852, -0.301651, -0.000002
14408000, -0.339387, -0.293494, 0.000001
14412000, -0.145617, -0.194872, 0.000001
14416000, -0.261569, -0.342193, 0.000000
14420000, -0.108852, -0.320735, -0.000002
14424000, -0.112177, -0.297086, 0.000001
14428000, -0.307480, -0.322836, 0.000002
14432000, -0.051180, -0.278709, -0.000002
14436000, -0.154464, -0.007724, -0.000000
14440000, -0.135996, -0.039832, -0.000001
14444000, 0.084155, -0.111439, -0.000002
14448000, -0.064066, 0.054611, 0.000000
14452000, 0.104610, 0.046974, -0.000001
14456000, -0.168930, -0.083399, 0.000001
14460000, -0.021390, -0.120697, -0.000001
14464000, -0.075933, 0.079273, -0.000001
14468000, -0.141411, -0.104953, 0.000001
14472000, -0.113499, -0.144385, 0.000002
14476000, -0.185036, -0.311795, 0.000000
14480000, -0.200993, -0.323562, -0.000000
14484000, -0.127311, -0.262427, 0.000001
14488000, -0.177418, -0.122421, 0.000001
14492000, -0.191262, -0.099353, -0.000000
14496000, -0.197769, -0.349924, 0.000001
14500000, -0.136382, -0.254986, -0.000000
14504000, -0.154534, -0.332779, 0.000000
14508000, -0.365260, -0.150798, 0.000002
14512000, -0.311440, -0.223057, -0.000001
14516000, -0.499836, -0.209088, 0.000000
14520000, -0.465058, 0.005817, 0.000000
14524000, -0.484117, -0.069350, 0.000000
14528000, -0.290560, 0.020867, -0.000000
14532000, -0.203465, 0.030052, 0.000001
14536000, -0.424258, 0.121548, -0.000001
14540000, -0.244381, 0.238694, -0.000002
14544000, -0.277626, 0.124590, 0.000001
14548000, -0.211019, -0.064538, 0.000001
14552000, -0.282946, -0.077172, -0.000000
14556000, -0.303395, -0.095447, 0.000000
14560000, -0.372366, -0.052501, 0.000001
14564000, -0.437119, -0.257935, 0.000001
