Run Index, Segregation Time steps (f045_s040_t00)
1, 2194000
2, 1400000
3, 652000
4, 1572000
5, 1510000
6, 1436000
7, 1566000
8, 6328000
9, 2620000
10, 1678000
11, 1130000
12, 1699000
13, 1057000
14, 490000
15, 604000
16, 980000
17, 1392000
18, 1613000
20, 978000
21, 2167000
22, 693000
23, 1739000
24, 1120000
25, 1708000
26, 1508000
27, 1610000
28, 910000
29, 1856000
30, 555000
31, 2195000
32, 668000
33, 3666000
34, 2414000
35, 642000
36, 894000
37, 1723000
38, 2948000
39, 998000
40, 982000
41, 1608000
42, 2154000
43, 3033000
44, 1175000
45, 1657000
46, 3151000
47, 1412000
48, 1062000
49, 747000
50, 812000
