Run Index, Segregation Time steps (f048_s043_t00)
1, 15110000
2, 26440000
3, 5500000
4, 6270000
5, 6470000
6, 16080000
7, 7150000
8, 21260000
9, 7900000
10, 15560000
11, 6900000
12, 3600000
13, 1420000
14, 6830000
15, 2560000
16, 24800000
17, 1100000
18, 6790000
19, 2830000
20, 3530000
21, 9170000
22, 1840000
23, 7100000
24, 11890000
25, 2650000
26, 4210000
27, 1690000
28, 7510000
29, 5900000
30, 1620000
31, 5980000
32, 3260000
33, 2640000
34, 5100000
35, 16420000
36, 6210000
37, 2590000
38, 3090000
39, 17510000
40, 5710000
41, 2020000
42, 9840000
43, 13700000
44, 4990000
45, 14630000
46, 7910000
47, 5670000
48, 4910000
49, 4990000
50, 6110000
