Run Index, Segregation Time steps (f048_s043_t00)
1, 267000
2, 215000
3, 225000
4, 308000
5, 325000
6, 258000
7, 313000
8, 235000
9, 221000
10, 219000
11, 177000
12, 245000
13, 317000
14, 394000
15, 171000
16, 156000
17, 253000
18, 178000
19, 151000
20, 407000
21, 283000
22, 526000
23, 279000
24, 336000
25, 120000
26, 388000
27, 293000
28, 289000
29, 218000
30, 253000
31, 304000
32, 208000
33, 255000
34, 360000
35, 275000
36, 217000
37, 229000
38, 151000
39, 289000
40, 204000
41, 305000
42, 346000
43, 263000
44, 448000
45, 335000
46, 250000
47, 326000
48, 330000
49, 255000
50, 246000
