Run Index, Segregation Time steps (f048_s043_t00)
1, 8690000
2, 20690000
3, 9900000
4, 8160000
5, 2680000
6, 19850000
7, 3770000
8, 5830000
9, 39800000
10, 9040000
11, 37970000
12, 7920000
13, 3270000
14, 7740000
15, 15470000
16, 14820000
17, 12610000
18, 6700000
19, 15290000
20, 10610000
21, 6870000
22, 32840000
23, 19560000
24, 4380000
25, 12070000
26, 10940000
27, 9210000
28, 4800000
29, 12540000
30, 18230000
31, 12440000
32, 28060000
33, 8000000
34, 5890000
35, 5680000
36, 4500000
37, 2110000
38, 8850000
39, 8720000
40, 13730000
41, 5020000
42, 6720000
43, 26260000
44, 6530000
45, 16400000
46, 22160000
47, 16490000
48, 39220000
49, 5340000
50, 8990000
