Run Index, Segregation Time steps (f045_s040_t00)
1, 344000
2, 565000
3, 988000
4, 583000
5, 455000
6, 1141000
7, 264000
8, 2399000
9, 547000
10, 483000
11, 458000
12, 418000
13, 430000
14, 490000
15, 1104000
16, 994000
17, 617000
18, 372000
19, 597000
20, 542000
21, 585000
22, 429000
23, 415000
24, 213000
25, 369000
26, 1887000
27, 668000
28, 576000
29, 477000
30, 1020000
31, 1019000
32, 2458000
33, 5648000
34, 746000
35, 1041000
36, 164000
37, 1639000
38, 679000
39, 1031000
40, 400000
41, 797000
42, 907000
43, 646000
44, 861000
45, 831000
46, 587000
47, 754000
48, 1873000
49, 386000
50, 187000
