Run Index, Segregation Time steps (f048_s043_t00)
1, 10850000
2, 4850000
3, 9960000
4, 7800000
5, 6470000
6, 8500000
7, 7500000
8, 7670000
9, 6600000
10, 8850000
11, 9990000
12, 7870000
13, 5520000
14, 16680000
15, 5890000
16, 39010000
17, 6460000
18, 17000000
19, 14200000
20, 6260000
21, 3760000
22, 6000000
23, 3330000
24, 15580000
25, 13930000
26, 9230000
27, 15200000
28, 7450000
29, 19130000
30, 11810000
31, 8090000
32, 11540000
33, 5550000
34, 10220000
35, 8070000
36, 4920000
37, 11150000
38, 5030000
39, 4910000
40, 16930000
41, 11160000
42, 2640000
43, 8280000
44, 4750000
45, 20240000
46, 19990000
47, 9660000
48, 4650000
49, 21550000
50, 18070000
